task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
24	79/3e3d69	7102	getChrSeq (16)	COMPLETED	0	2020-11-12 08:05:44.770	7.9s	1.6s	13.8%	6.7 MB	52.7 MB	23.2 MB	23.2 MB
12	39/4f1873	7133	getChrSeq (6)	COMPLETED	0	2020-11-12 08:05:44.797	8.2s	3.1s	14.1%	6.8 MB	52.7 MB	49.2 MB	49.2 MB
18	69/d85c9e	7029	getChrSeq (10)	COMPLETED	0	2020-11-12 08:05:44.658	8.4s	2.5s	13.2%	6.9 MB	52.7 MB	38.2 MB	38.2 MB
23	b5/a277bd	7056	getChrSeq (15)	COMPLETED	0	2020-11-12 08:05:44.705	8.3s	3.2s	7.9%	6.8 MB	52.7 MB	24.1 MB	24.1 MB
13	7f/884936	7280	getChrSeq (7)	COMPLETED	0	2020-11-12 08:05:44.893	8.1s	1.2s	28.8%	7 MB	52.7 MB	45.3 MB	45.3 MB
20	e1/85a5af	7302	getChrSeq (12)	COMPLETED	0	2020-11-12 08:05:44.907	8.6s	2.6s	11.0%	6.9 MB	52.7 MB	28.2 MB	28.2 MB
22	44/ca87f8	7187	getChrSeq (14)	COMPLETED	0	2020-11-12 08:05:44.838	8.8s	4.1s	7.3%	6.9 MB	52.7 MB	26 MB	25.9 MB
10	5e/1b301f	7117	getChrSeq (5)	COMPLETED	0	2020-11-12 08:05:44.785	8.9s	4.7s	10.8%	6.8 MB	52.7 MB	52 MB	52 MB
4	4c/803ee9	7081	getChrSeq (1)	COMPLETED	0	2020-11-12 08:05:44.730	9s	4.1s	13.1%	6.6 MB	52.7 MB	66.1 MB	66.2 MB
6	5d/4ee849	7157	getChrSeq (3)	COMPLETED	0	2020-11-12 08:05:44.814	9s	5s	11.3%	6.8 MB	52.7 MB	57 MB	57.1 MB
19	86/e3f99d	7245	getChrSeq (11)	COMPLETED	0	2020-11-12 08:05:44.872	9.1s	5.3s	8.5%	7 MB	52.7 MB	38.3 MB	38.3 MB
7	5e/8fd5dd	7209	getChrSeq (4)	COMPLETED	0	2020-11-12 08:05:44.848	9.6s	6.5s	9.3%	7 MB	52.7 MB	54.8 MB	54.8 MB
1	56/7ca9d5	7176	getChrSeq (2)	COMPLETED	0	2020-11-12 08:05:44.828	11.8s	8.5s	8.7%	7.2 MB	52.7 MB	69.5 MB	69.5 MB
26	4d/0e450a	14247	getChrSeq (17)	COMPLETED	0	2020-11-12 08:05:53.849	5s	1.7s	13.7%	6.8 MB	52.7 MB	23 MB	23 MB
16	04/4fa3a7	13362	getChrSeq (8)	COMPLETED	0	2020-11-12 08:05:52.702	6.3s	2.8s	13.6%	6.9 MB	52.7 MB	41.6 MB	41.7 MB
