"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000144824",322.713957335275,4.19087115320643,0.691018242322241,6.06477643646941,1.32137324112074e-09,6.51965557168973e-06
"ENSG00000101977",935.832902889886,4.59235027087611,0.746595866159198,6.15105236853385,7.69704967166843e-10,6.51965557168973e-06
"ENSG00000198795",323.001622585415,3.58823356017362,0.576174974209962,6.22768034153813,4.73391685264327e-10,6.51965557168973e-06
"ENSG00000169548",39.5055598630504,-8.66860937421868,1.42090604227689,-6.10076184933938,1.05564092612464e-09,6.51965557168973e-06
"ENSG00000163017",71.5491344217027,-4.76764121759701,0.90972139744587,-5.24077066999042,1.59907345086911e-07,0.000327724232676792
"ENSG00000250337",133.005514674497,-4.13611568486086,0.790269081579827,-5.23380678969795,1.66054029528168e-07,0.000327724232676792
"ENSG00000284377",32.9392975255933,-5.62210387480405,1.0654107396467,-5.27693561327194,1.31362014936021e-07,0.000327724232676792
"ENSG00000182632",57.6139195457374,-5.78412677573299,1.09729125721008,-5.27127755527681,1.35477413010839e-07,0.000327724232676792
"ENSG00000226145",70.1212291828008,-4.52341114164239,0.848880796154662,-5.32867649042475,9.89310329655351e-08,0.000327724232676792
"ENSG00000125816",41.6538502486748,7.57968576421267,1.43404406361614,5.2855319836543,1.25339970236591e-07,0.000327724232676792
"ENSG00000170421",355.870905027168,-3.19556564321691,0.614236262326404,-5.20250242327568,1.96622794869365e-07,0.000352777043594708
"ENSG00000165023",35.0641446669166,3.80345114017896,0.750404112850788,5.06853717223061,4.00884699210487e-07,0.000659321701968181
"ENSG00000163694",560.221372233929,-2.61035453617429,0.525744954743774,-4.96505865176865,6.86803106812617e-07,0.000977875024033676
"ENSG00000186310",54.6392268770552,2.92388815341844,0.589122072681196,4.96312782868808,6.93668946922956e-07,0.000977875024033676
"ENSG00000158486",24.5908397182521,-3.664721822772,0.751694649250911,-4.8752799110969,1.08654276551283e-06,0.00142960053467741
"ENSG00000186973",28.742608871964,-6.74908864482921,1.39309650762894,-4.84466697595576,1.26824221538396e-06,0.0015182142735307
"ENSG00000155622",52.1931622345118,-5.09902875359954,1.0599503862627,-4.81062964803316,1.50455573002702e-06,0.0015182142735307
"ENSG00000259283",47.2426027600311,-3.14114824765657,0.651385824268003,-4.8222545389078,1.41944649598116e-06,0.0015182142735307
"ENSG00000159618",82.2853114049479,-5.47007791933358,1.13300244041299,-4.82794892951834,1.37946456911747e-06,0.0015182142735307
"ENSG00000225280",13.0980964119941,7.27831506325222,1.51437034734564,4.80616586029269,1.53852277414947e-06,0.0015182142735307
"ENSG00000089169",39.9741065939868,-4.13509740848523,0.871228792827392,-4.74628185217068,2.07189952643598e-06,0.00194719090732098
"ENSG00000153283",52.2802892047771,-5.21253608796275,1.10255794469637,-4.72767541428238,2.27104842828605e-06,0.00203733689912062
"ENSG00000115641",557.152886708613,-2.19693043776136,0.468322248591178,-4.6910657018116,2.71785669919012e-06,0.00223942311899326
"ENSG00000065371",225.444934655774,-3.38387449820647,0.723404607614091,-4.67770658714362,2.90101248140878e-06,0.00223942311899326
"ENSG00000153064",28.8540954456614,-6.75165329242882,1.44443338020304,-4.674257314297,2.95019259697126e-06,0.00223942311899326
"ENSG00000020181",218.030020276357,2.09157952424887,0.446220781877924,4.68731984074438,2.76806189723471e-06,0.00223942311899326
"ENSG00000127863",395.132834450394,3.98381766106344,0.864608582210067,4.60765454222095,4.07236511763493e-06,0.00297674807265344
"ENSG00000253125",7.83886245076848,-6.34051495148926,1.38217239189738,-4.58735465174885,4.48897746333844e-06,0.00316408782915884
"ENSG00000232053",18.6322832743173,-3.74922628606011,0.820390179619793,-4.570052615449,4.87601780564576e-06,0.00331838232455947
"ENSG00000148357",37.1425804410172,-6.06125309796417,1.32857805254683,-4.56221076838127,5.06177959540069e-06,0.0033299760698276
"ENSG00000103449",74.0031768951143,3.30340544893419,0.725898774237996,4.55077975906751,5.34474708921909e-06,0.00340270737267187
"ENSG00000231419",838.401804444615,3.20976042503027,0.706550106603134,4.5428631246859,5.54952870682513e-06,0.0034226718299344
"ENSG00000282943",7.6408423477151,-6.30601315623297,1.39313496792657,-4.52649118815697,5.99710987728627e-06,0.00358663516782187
"ENSG00000142621",27.5778579267855,-5.13215307295749,1.14514716704614,-4.4816537303198,7.40668504530764e-06,0.00374816246292799
"ENSG00000134121",1068.984862133,3.19210812232371,0.708584968969472,4.50490521548338,6.64025745702195e-06,0.00374816246292799
"ENSG00000234261",79.007713292716,-5.24355989513163,1.16928091453832,-4.48443126876999,7.31086658107319e-06,0.00374816246292799
"ENSG00000197251",12.8681348445017,-7.05771851856558,1.57456493118946,-4.48232929539086,7.38326974163646e-06,0.00374816246292799
"ENSG00000256546",67.5631221523486,-3.61216111246287,0.802133492573286,-4.50319198226579,6.69403613289153e-06,0.00374816246292799
"ENSG00000214212",63.3059021128137,-3.70313745340137,0.823434264029087,-4.49718649705176,6.88585850394416e-06,0.00374816246292799
"ENSG00000141738",7.989882167111,-6.36961180454752,1.42830948999031,-4.45954595218067,8.21334631856717e-06,0.00395362446203028
"ENSG00000204277",11.6037124227409,-6.90367108468818,1.54755030661495,-4.46103177077906,8.15659956524883e-06,0.00395362446203028
"ENSG00000158966",85.7275464336484,2.81602479053868,0.633112670963597,4.44790464587083,8.6712004776335e-06,0.00397987936340871
"ENSG00000124785",198.46345042196,4.59019733576951,1.03130241507654,4.45087422337592,8.55214225610409e-06,0.00397987936340871
"ENSG00000088726",27.1517720336022,-4.32875698394646,0.974362030956807,-4.44265770464772,8.88544621131503e-06,0.00398552650969349
"ENSG00000205784",12.160082008137,-6.97090058858749,1.57354653329927,-4.43005684361398,9.42082526655642e-06,0.00413176461023905
"ENSG00000167077",158.858721627036,-3.87703545425985,0.876141913259329,-4.42512268342114,9.63874896723525e-06,0.00413544238298597
"ENSG00000188112",17.3093201207059,-4.45975743322422,1.01392052590941,-4.39852761558818,1.08987760371916e-05,0.00451957883078837
"ENSG00000012124",394.078109986233,-4.37833913461541,0.995829205968298,-4.39667676783803,1.09920847120917e-05,0.00451957883078837
"ENSG00000198223",80.9019697253194,-2.89549782550994,0.661640092290507,-4.37624300469176,1.20742399775987e-05,0.00486320816730384
"ENSG00000135318",482.27259304433,3.09402987620823,0.712136440756158,4.34471500001171,1.39456599424903e-05,0.00539669695343116
"ENSG00000286122",27.0364041052796,-6.63430969950579,1.52596550511961,-4.34761446261249,1.37626250240962e-05,0.00539669695343116
"ENSG00000123700",225.564435920955,4.32365977212637,0.997041724710611,4.33648829830196,1.44777130691277e-05,0.005494848944852
"ENSG00000174348",26.2118370679641,4.10539659490688,0.948638099633456,4.32767416414454,1.50692176376299e-05,0.00558219531431466
"ENSG00000124772",217.273921192742,-4.57206433743125,1.05719655308216,-4.32470605782985,1.52735380509217e-05,0.00558219531431466
"ENSG00000130513",1347.48991899575,-3.79584877325779,0.878748823562801,-4.31960609388687,1.56307949986516e-05,0.00560889763806159
"ENSG00000105894",92.3193532478269,3.31709372079229,0.770803536323142,4.30342307018383,1.68179261847998e-05,0.0058231331786528
