Sample	total_reads	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Drosophila counts	Drosophila percentage	Worm counts	Worm percentage	Yeast counts	Yeast percentage	Arabidopsis counts	Arabidopsis percentage	Ecoli counts	Ecoli percentage	rRNA counts	rRNA percentage	MT counts	MT percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	Vectors counts	Vectors percentage	Adapters counts	Adapters percentage	No hits counts	No hits percentage
SRR628582_1_screen	100129	99192.0	99.05	19344.0	19.32	19880.0	19.85	604.0	0.6	301.0	0.3	373.0	0.37	475.0	0.48	0.0	0.0	840.0	0.84	4424.0	4.42	79.0	0.08	0.0	0.0	496.0	0.5	504.0	0.51	420	0.42
SRR628582_2_screen	100129	98795.0	98.66999999999999	19515.0	19.490000000000002	19954.0	19.93	604.0	0.6	291.0	0.29	330.0	0.33	476.0	0.47	0.0	0.0	809.0	0.7999999999999999	4399.0	4.390000000000001	75.0	0.07	0.0	0.0	366.0	0.36	322.0	0.32	981	0.98
SRR628583_1_screen	99760	97809.0	98.05000000000001	22992.0	23.06	24365.0	24.41	3323.0	3.33	2780.0	2.79	3619.0	3.62	3941.0	3.96	4.0	0.0	11744.0	11.780000000000001	9460.0	9.48	85.0	0.09	0.0	0.0	1441.0	1.45	1432.0	1.44	518	0.52
SRR628583_2_screen	99760	97426.0	97.66	23189.0	23.240000000000002	24543.0	24.61	3426.0	3.43	2809.0	2.8099999999999996	3654.0	3.6599999999999997	3919.0	3.93	4.0	0.0	11721.0	11.75	9426.0	9.450000000000001	84.0	0.08	0.0	0.0	484.0	0.49	439.0	0.44	1825	1.83
SRR628584_1_screen	99762	99038.0	99.27	14945.0	14.98	15239.0	15.27	544.0	0.55	292.0	0.29000000000000004	300.0	0.31	408.0	0.41000000000000003	1.0	0.0	798.0	0.8	15287.0	15.319999999999999	82.0	0.08	0.0	0.0	196.0	0.2	179.0	0.16999999999999998	478	0.48
SRR628584_2_screen	99762	98688.0	98.93	15003.0	15.04	15182.0	15.219999999999999	584.0	0.59	297.0	0.3	309.0	0.31	416.0	0.42000000000000004	2.0	0.0	788.0	0.79	15227.0	15.260000000000002	81.0	0.08	0.0	0.0	181.0	0.18	149.0	0.15	877	0.88
SRR628585_1_screen	100281	95478.0	95.20999999999998	24203.0	24.13	25510.0	25.439999999999998	3317.0	3.31	2751.0	2.75	3495.0	3.4899999999999998	3920.0	3.9	2.0	0.0	11808.0	11.780000000000001	9065.0	9.040000000000001	101.0	0.1	0.0	0.0	4264.0	4.25	4293.0	4.29	591	0.59
SRR628585_2_screen	100281	95202.0	94.94	24401.0	24.33	25654.0	25.58	3467.0	3.46	2793.0	2.7800000000000002	3587.0	3.5799999999999996	3968.0	3.96	2.0	0.0	11732.0	11.7	9033.0	9.01	98.0	0.09	0.0	0.0	984.0	0.98	953.0	0.9400000000000001	4011	4.0
SRR628586_1_screen	100131	99394.0	99.27	17417.0	17.4	17889.0	17.86	579.0	0.58	322.0	0.32	401.0	0.4	482.0	0.48	1.0	0.0	1016.0	1.02	13800.0	13.78	106.0	0.11	0.0	0.0	137.0	0.14	109.0	0.11	530	0.53
SRR628586_2_screen	100131	99138.0	99.02000000000001	17665.0	17.64	17911.0	17.880000000000003	536.0	0.53	342.0	0.34	388.0	0.39	470.0	0.47000000000000003	1.0	0.0	1021.0	1.02	13756.0	13.74	103.0	0.1	0.0	0.0	164.0	0.16	142.0	0.14	781	0.78
SRR628587_1_screen	99800	98780.0	98.97999999999999	27116.0	27.17	28072.0	28.13	3351.0	3.36	2326.0	2.33	3432.0	3.44	3660.0	3.67	1.0	0.0	10675.0	10.7	6440.0	6.45	113.0	0.11	0.0	0.0	480.0	0.48	487.0	0.49	479	0.48
SRR628587_2_screen	99800	98379.0	98.57	27280.0	27.34	28090.0	28.14	3327.0	3.33	2431.0	2.44	3371.0	3.38	3688.0	3.7	1.0	0.0	10686.0	10.71	6413.0	6.42	108.0	0.11	0.0	0.0	261.0	0.26	229.0	0.23	1107	1.11
SRR628588_1_screen	99781	97970.0	98.17	17144.0	17.18	17745.0	17.77	1289.0	1.29	867.0	0.87	1135.0	1.1400000000000001	1307.0	1.31	2.0	0.0	3459.0	3.47	15284.0	15.32	89.0	0.09	0.0	0.0	1371.0	1.3699999999999999	1353.0	1.36	449	0.45
SRR628588_2_screen	99781	97572.0	97.78999999999999	17309.0	17.349999999999998	17906.0	17.95	1313.0	1.31	888.0	0.89	1190.0	1.2	1329.0	1.34	1.0	0.0	3496.0	3.5100000000000002	15217.0	15.25	82.0	0.08	0.0	0.0	466.0	0.47	422.0	0.42	1716	1.72
SRR628589_1_screen	100142	98594.0	98.46	13068.0	13.05	13015.0	12.99	468.0	0.47000000000000003	288.0	0.28	323.0	0.32	400.0	0.4	1.0	0.0	669.0	0.6699999999999999	6236.0	6.23	68.0	0.07	0.0	0.0	583.0	0.58	544.0	0.54	961	0.96
SRR628589_2_screen	100142	98242.0	98.11000000000001	12985.0	12.969999999999999	13049.0	13.03	509.0	0.5	298.0	0.30000000000000004	328.0	0.32999999999999996	419.0	0.42	1.0	0.0	677.0	0.6699999999999999	6220.0	6.21	63.0	0.06	0.0	0.0	284.0	0.29000000000000004	220.0	0.21	1632	1.63
