Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR628582	15.968375511678632	4943475	90.62	12975767.0					
SRR628582_1					48.82211321410558	49.0	101.0	9.090909090909092	14318478.0
SRR628582_2					48.369728471714154	49.0	101.0	9.090909090909092	14318478.0
SRR628583	13.847993671436045	6699661	78.52	13865521.0					
SRR628583_1					48.283983625907666	50.0	101.0	9.090909090909092	17657635.0
SRR628583_2					47.20696237261125	51.0	101.0	9.090909090909092	17657635.0
SRR628584	23.395951748479472	5264733	92.04	9732577.0					
SRR628584_1					45.68963957019356	49.0	101.0	9.090909090909092	10574840.0
SRR628584_2					45.37642172207321	50.0	101.0	9.090909090909092	10574840.0
SRR628585	13.604326646692385	5444288	76.39	11567233.0					
SRR628585_1					51.14990159583491	51.0	101.0	18.181818181818183	15142560.0
SRR628585_2					47.76101266471198	51.0	101.0	9.090909090909092	15142560.0
SRR628586	21.886866409622506	5125926	90.34	9679229.0					
SRR628586_1					47.40588003265535	50.0	101.0	9.090909090909092	10714080.0
SRR628586_2					47.36827713582874	50.0	101.0	9.090909090909092	10714080.0
SRR628587	12.549646868174294	5837281	80.65	13924620.0					
SRR628587_1					56.37279275136835	51.0	101.0	18.181818181818183	17265483.0
SRR628587_2					55.92846542356585	51.0	101.0	18.181818181818183	17265483.0
SRR628588	22.02703130284125	6697003	87.11	11559858.0					
SRR628588_1					51.317071731044976	50.0	101.0	18.181818181818183	13270990.0
SRR628588_2					50.08107566019729	50.0	101.0	18.181818181818183	13270990.0
SRR628589	19.620060358158202	7769859	88.39	16022225.0					
SRR628589_1					59.99704633598618	52.0	101.0	27.27272727272727	18125870.0
SRR628589_2					59.42651714693941	52.0	101.0	27.27272727272727	18125870.0
